"source_id","brand","name","categories","price","web_url"
"242682","Living Proof","Perfect Hair Day 5-in-1 Styling Treatment 118ml","Hair Care >> Styling Products >> Styling Cream / Gel >> Shine-Enhancing","38.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-Perfect-Hair-Day-(PHD)-5%7C-in%7C-1-Styling-Treatment-118ml"
"224569","Living Proof","Full Shampoo 236ml","Hair Care >> Shampoo >> Fine Hair >> Clarifying","38.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-Full-Shampoo-236ml"
"224565","Living Proof","No Frizz Shampoo 236ml","Hair Care >> Shampoo >> All Hair Types >> Anti-Frizz","38.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-No-Frizz-Shampoo-236ml"
"224566","Living Proof","No Frizz Conditioner 236ml","Hair Care >> Conditioner >> All Hair Types >> Anti-Frizz","38.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-No-Frizz-Conditioner-236ml"
"242605","Living Proof","Amp2 Instant Texture Volumizer 57g","Hair Care >> Styling Products >> Styling Cream / Gel >> Texturizing","39.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-Amp2-Instant-Texture-Volumizer-57g"
"224567","Living Proof","No Frizz Leave-In Conditioner 118ml","Hair Care >> Conditioner >> Damaged Hair >> Anti-Frizz","39.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-No-Frizz-Leave%7C-In-Conditioner-(For-Dry-or-Damaged-Hair)-118ml"
"224576","Living Proof","Style Lab Prime Style Extender 148ml","Hair Care >> Styling Products >> Styling Cream / Gel >> Volumizing","27.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-Style-Lab-Prime-Style-Extender-148ml"
"224570","Living Proof","Full Conditioner 236ml","Hair Care >> Conditioner >> Fine Hair >> Clarifying","38.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-Full-Conditioner-236ml"
"253919","Living Proof","Perfect Hair Day 236ml","Hair Care >> Shampoo >> All Hair Types >> Color Protection","39.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-Perfect-Hair-Day-(PHD)-Shampoo-(For-All-Hair-Types)-236ml"
"224568","Living Proof","No Frizz Nourishing Styling Cream 118ml","Hair Care >> Styling Products >> Styling Cream / Gel >> Frizz Control","45.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-No-Frizz-Nourishing-Styling-Cream-118ml"
"224571","Living Proof","Full Thickening Cream 109ml","Hair Care >> Intensive Treatments >> Treatments","52.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-Full-Thickening-Cream-109ml"
"224573","Living Proof","Restore Conditioner 236ml","Hair Care >> Conditioner >> Damaged Hair >> Color Protection","43.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-Restore-Conditioner-(For-Dry-or-Damaged-Hair)-236ml"
"253920","Living Proof","Perfect Hair Day 236ml","Hair Care >> Conditioner >> All Hair Types >> Color Protection","39.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-Perfect-Hair-Day-(PHD)-Conditioner-(For-All-Hair-Types)-236ml"
"224572","Living Proof","Restore Shampoo 236ml","Hair Care >> Shampoo >> Damaged Hair >> Color Protection","49.95","https://www.cosmeticsnow.com.au/iteminfo/Living-Proof-Restore-Shampoo-(For-Dry-or-Damaged-Hair)-236ml"
