"source_id","brand","name","categories","price","rating","review_count","original_price","web_url","image_urls","variant_count"
"17798","Huda Beauty","Nude Eyeshadow Palette","[""Eyeshadow"", ""Eye Palettes & Sets"", ""For Her""]","9500","5.0","7","9500","https://www.sephora.com.au/products/huda-beauty-nude-eyeshadow-palette","[""https://static-reg.lximg.com/images/product_images/1_Product_202146_20Huda_20Beauty_20Nude_20Eyeshadow_20Palette_cc6abca4a954771037c2281e8199afbc0cc9563f_1540974277.png"", ""https://static-reg.lximg.com/images/product_images/2_Product_202146_20Huda_20Beauty_20Nude_20Eyeshadow_20Palette_b9f5aa163ba2bb5e483d3e2fae5f78f4d0774039_1540974279.png"", ""https://static-reg.lximg.com/images/product_images/3_Product_202146_20Huda_20Beauty_20Nude_20Eyeshadow_20Palette_c0663a9f10a486fc2434e65c5d164fe2a2588f4f_1540974282.png"", ""https://static-reg.lximg.com/images/product_images/4_Product_202146_20Huda_20Beauty_20Nude_20Eyeshadow_20Palette_f59d05ae7255dffdc3931e8fbc498ce2f1f44f9e_1540974284.png""]","1"
"12180","Fenty Beauty","Pro Filt'r Soft Matte Longwear Foundation","[""Foundation""]","5000","4.5","1982","5000","https://www.sephora.com.au/products/fenty-pro-filtr-soft-matte-longwear-foundation","[""https://static-reg.lximg.com/images/product_images/26086_Fenty_ProFiltrSoftMatteLongwearFoundation100_WEB_6d9373c261a4b8fbd7b092cf6e0382dda022e320_1523778019.png"", ""https://static-reg.lximg.com/images/product_images/26086_Fenty_WEB_2_4f797102915c2c9c9b9cec850e436c8bc43acf9a_1523778019.png""]","40"
"17287","Huda Beauty","Obsessions Precious Stones Eyeshadow Palette (Limited Edition)","[""Eyeshadow"", ""Eye Palettes & Sets"", ""For Her""]","4800","5.0","1","4800","https://www.sephora.com.au/products/huda-beauty-obsessions-precious-stones-eyeshadow-palette-limited-edition","[""https://static-reg.lximg.com/images/product_images/Huda_Beauty_Obsessions_Precious_Stones_Eyeshadow_Palette__Limited_Edition__Topaz_-_201695_0e7c917d703a0bb204202380879d800f927ee4b1_1542338079.png""]","5"
"13265","Sephora Collection","Kiss Me Gloss","[""Lip Gloss""]","300","4.0","32","1200","https://www.sephora.com.au/products/sephora-collection-kiss-me-gloss","[""https://static-reg.lximg.com/images/product_images/28308_SephoraCollection_KissMeGloss3CandyDesire_WEB_a2afb552c5cc4a62f2c495c7245d266da9978a24_1523792067.png""]","3"
"5785","Anastasia Beverly Hills","Dipbrow Pomade","[""Eyebrows""]","3200","4.5","445","3200","https://www.sephora.com.au/products/anastasia-dipbrow-pomade","[""https://static-reg.lximg.com/images/product_images/10421_AnastasiaBeverlyHills_WEB_d8069241491a4d6e9f80a75540dc54995e8da9b1_1523776983.png""]","11"
"15417","Fenty Beauty","Diamond Bomb All-Over Diamond Veil","[""Highlighter & Illuminator""]","5600","4.5","29","5600","https://www.sephora.com.au/products/fenty-beauty-diamond-bomb-all-over-diamond-veil","[""https://static-reg.lximg.com/images/product_images/1_Product_198513_20Fenty_20Beauty_20Diamond_20Bomb_20All_20Over_20Diamond_20Veil_20How_20Many_20Cara_904d0aee010efb8fb6dfc9d3e3bc6720ae8e61e4_1534933230.png"", ""https://static-reg.lximg.com/images/product_images/2_Product_198513_20Fenty_20Beauty_20Diamond_20Bomb_20All_20Over_20Diamond_20Veil_20How_20Many_20Cara_903e78ae9446894419d6371ad477a51d16febbff_1534933233.png"", ""https://static-reg.lximg.com/images/product_images/3_Product_198513_20Fenty_20Beauty_20Diamond_20Bomb_20All_20Over_20Diamond_20Veil_20How_20Many_20Cara_22239953e09103f2d3b16a04ce8c171d24ed3821_1534933236.png""]","1"
"5775","Anastasia Beverly Hills","Brow Wiz","[""Eyebrows""]","3800","4.5","312","3800","https://www.sephora.com.au/products/anastasia-brow-wiz","[""https://static-reg.lximg.com/images/product_images/21586_AnastasiaBeverlyHills_BrowWiz_Blonde_WEB_4a25b7590285a5829c8ba79143fee6c04a524464_1523776979.png""]","10"
"12179","Fenty Beauty","Stunna Lip Paint Longwear Fluid Lip Color","[""Lipstick""]","3600","4.5","424","3600","https://www.sephora.com.au/products/fenty-beauty-stunna-lip-paint-longwear-fluid-lip-color","[""https://static-reg.lximg.com/images/product_images/2i_-_193919_Fenty_Beauty_Stunna_Lip_Paint_Longwear_Fluid_Lip_Color_Uninvited_Product_-_CORE_-_OPEN_-_51152dea6eab8dcd867c12f9101c450ba9f0eeca_1537152837.png"", ""https://static-reg.lximg.com/images/product_images/2ii_-_193919_Fenty_Beauty_Stunna_Lip_Paint_Longwear_Fluid_Lip_Color_Uninvited_Product_-_CORE_-_CLOSE_e9f6271d66ed9d3deec7089aedf60458bdacefa1_1537152859.png"", ""https://static-reg.lximg.com/images/product_images/2iii_-_193919_Fenty_Beauty_Stunna_Lip_Paint_Longwear_Fluid_Lip_Color_Uninvited_Product_-_CORE_-_PACK_56044d4df7476dfa008d358d58f9e99f0880ed10_1537152880.png"", ""https://static-reg.lximg.com/images/product_images/1i_-_193919_Fenty_Beauty_Stunna_Lip_Paint_Longwear_Fluid_Lip_Color_Uninvited_Limited_Edition_Product_1e8a7afba7ee615e6c42808a2aeee80005f87694_1537153123.png"", ""https://static-reg.lximg.com/images/product_images/1ii_-_193919_Fenty_Beauty_Stunna_Lip_Paint_Longwear_Fluid_Lip_Color_Uninvited_Limited_Edition_Produc_e31e9b32106dba72ecc9abd66aef451c590c3705_1537153154.png"", ""https://static-reg.lximg.com/images/product_images/1iii_-_Fenty_Beauty_Stunna_Lip_Paint_Longwear_Fluid_Lip_Color_Uninvited_-_LE_-_PACKAGING_-_3_94f35a69c692c176c8b5bba4a7950fedd8033aee_1537153175.png"", ""https://static-reg.lximg.com/images/product_images/1iv_-_Fenty_Beauty_Stunna_Lip_Paint_Longwear_Fluid_Lip_Color_Uninvited_-_TEXTURE_SMEAR_b99c818c69f7c924cb90b3631c765ed29d986e3b_1537153221.png""]","5"
"13384","Huda Beauty","#FauxFilter Foundation","[""Foundation""]","6500","4.0","110","6500","https://www.sephora.com.au/products/huda-beauty-number-fauxfilter-foundation","[""https://static-reg.lximg.com/images/product_images/28914_HUDABEAUTY_fauxfilterFoundation_Milkshake100B_WEB_f9ffedc79c11ee063789c5fa0af756b29e4739d8_1523778307.png""]","30"
"12401","Sephora Collection","Colorful Duo Eyeshadow","[""Eyeshadow"", ""Eye Palettes & Sets"", ""For Her""]","500","3.5","73","1700","https://www.sephora.com.au/products/sephora-collection-colorful-duo-eyeshadow","[""https://static-reg.lximg.com/images/product_images/26761_SephoraCollection_WEB_314c02391884223cd5cc4d13fedb465eec1928c5_1523791966.png""]","24"
